"file","game","package","engine","unity_runtime","source_analysis","recommended_tool","notes"
"AB+Evolution+2024_2.9.25_APKPure.xapk","AB Evolution","com.rovio.tnt","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Angry+Birds+Blast_2.9.1_APKPure.xapk","AB Blast!","com.rovio.blast","Cocos2d-x / Lua","N/A","Cocos assets/Lua bytecode found; native C++ source is not present, Lua may require bytecode decompilation.","Lua bytecode tools / native library inspection","assets/csrc present; Cocos Lua bytecode present; libcocos2d marker present"
"Angry+Birds+Dream+Blast_2.0.2_APKPure.xapk","Dream Blast","com.rovio.dream","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"Angry+Birds+POP+Bubble+Shooter_3.157.0_APKPure.xapk","AB POP!","com.rovio.ABstellapop","Android/Java or custom native","N/A","No known engine source markers found; inspect Java/Kotlin bytecode and native libraries manually.","jadx/apktool if installed separately","No known engine markers found"
"Boom+Beach_+War+Strategy+Game_62.80_APKPure.xapk","Boom Beach","com.supercell.boombeach","Flutter","N/A","Flutter assets/runtime found; Dart source is normally AOT compiled and not directly recoverable from release APKs.","Flutter asset inspection / native snapshot analysis","flutter_assets present; libflutter.so present"
"Brawl+Stars_67.306_APKPure.xapk","Brawl Stars","com.supercell.brawlstars","Flutter","N/A","Flutter assets/runtime found; Dart source is normally AOT compiled and not directly recoverable from release APKs.","Flutter asset inspection / native snapshot analysis","flutter_assets present; libflutter.so present"
"com.chillingo.warfriends.android.gplay-1.12.0-APK4Fun.com.apk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com.chillingo.warfriends.android.gplay-1.3.0-APK4Fun.com.apk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"com.chillingo.warfriends.android.gplay-1.6.0-APK4Fun.com.apk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","Mono","Managed C# DLLs are present; Assembly-CSharp.dll can usually be inspected/decompiled.","ILSpyCmd","Assembly-CSharp.dll and libmono.so present"
"com.chillingo.warfriends.android.gplay-1.7.0-APK4Fun.com.apk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com.chillingo.warfriends.android.gplay-1.9.0-APK4Fun.com.apk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com.chillingo.warfriends.android.gplay-2.11.1-APK4Fun.com.apk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com.chillingo.warfriends.android.gplay-2.5.0-APK4Fun.com.apk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com.chillingo.warfriends.android.gplay-3.0.2-APK4Fun.com.apk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com.chillingo.warfriends.android.gplay-4.1.1-APK4Fun.com.apk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"com.chillingo.warfriends.android.gplay-4.5.5-APK4Fun.com.apk","WarFriends","com.chillingo.warfriends.android.gplay","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"War+Alliance+-+PvP+Royale_1.124.1439_APKPure.xapk","War Alliance","com.magnificgames.waralliance","Unity","IL2CPP","Unity IL2CPP build; assets can be recovered, but original C# method bodies are compiled to native code.","AssetRipper for assets; IL2CPP metadata/native libs for symbols only","global-metadata.dat and libil2cpp.so present"
"War+Heroes_+Strategy+Card+Game_3.1.7_APKPure.xapk","War Heroes","com.fungames.boomforce","Android/Java or custom native","N/A","No known engine source markers found; inspect Java/Kotlin bytecode and native libraries manually.","jadx/apktool if installed separately","No known engine markers found"
